Participant,Epsilon,Accuracy,Noise
P1,0.7906081492365185,0.1597477094376054,2.0
P1,0.7906081492365185,0.17874087625516058,2.0
P1,0.7906081492365185,0.31097929759843124,2.0
P1,0.7906081492365185,0.3907648731597552,2.0
P1,0.7906081492365185,0.9651766897945537,2.0
P1,1.0912094298576835,0.2056829238056957,1.5
P1,1.0912094298576835,0.27100198722018326,1.5
P1,1.0912094298576835,0.36627585921916145,1.5
P1,1.0912094298576835,0.6020262884061292,1.5
P1,1.0912094298576835,0.8244634693333233,1.5
P1,1.9233117572990708,0.3729550227084045,1.0
P1,1.9233117572990708,0.38419840646729353,1.0
P1,1.9233117572990708,0.6337166276610531,1.0
P1,1.9233117572990708,0.8505339949887492,1.0
P1,1.9233117572990708,0.9384600358375814,1.0
P1,41.76881319019824,0.7366088031224526,0.5
P1,41.76881319019824,0.8427917250498683,0.5
P1,41.76881319019824,0.8940274454265762,0.5
P1,41.76881319019824,0.924463093677334,0.5
P1,41.76881319019824,0.9403383157839377,0.5
P2,0.7968993458809139,0.07090588131679616,2.0
P2,0.7968993458809139,0.17674584241180322,2.0
P2,0.7968993458809139,0.18693159843614182,2.0
P2,0.7968993458809139,0.23641675824912214,2.0
P2,0.7968993458809139,0.9043764287820363,2.0
P2,1.1003037794366688,0.0982197902346936,1.5
P2,1.1003037794366688,0.1544788607270179,1.5
P2,1.1003037794366688,0.36984633293636965,1.5
P2,1.1003037794366688,0.46765639539113685,1.5
P2,1.1003037794366688,0.8535625256079863,1.5
P2,1.9405199247201566,0.15100574767661373,1.0
P2,1.9405199247201566,0.589766761503969,1.0
P2,1.9405199247201566,0.5923055420468775,1.0
P2,1.9405199247201566,0.6033337290205975,1.0
P2,1.9405199247201566,0.8583414066299315,1.0
P2,41.917457818713075,0.4194655158549334,0.5
P2,41.917457818713075,0.5931020222172017,0.5
P2,41.917457818713075,0.763468364803235,0.5
P2,41.917457818713075,0.8892624517038166,0.5
P2,41.917457818713075,0.8902082719060767,0.5
